balance,housing,loan,duration,campaign,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Annual_Income,Gender
31,yes,no,23,1,unknown,0,263,30,student,single,tertiary,4338580,M
0,yes,no,123,2,unknown,0,320,43,management,divorced,tertiary,434472,M
2328,no,no,133,2,unknown,0,413,42,housemaid,married,primary,2588200,M
191,no,no,643,2,unknown,1,219,33,management,married,tertiary,1094416,M
72,yes,yes,643,5,failure,1,267,37,management,single,tertiary,4813383,M
3383,yes,no,172,2,unknown,0,472,45,management,married,tertiary,2377221,M
302,yes,no,258,3,unknown,0,444,45,blue-collar,married,primary,388219,M
291,no,no,350,1,success,1,251,75,retired,married,secondary,1952629,M
518,yes,no,616,1,unknown,1,237,35,technician,married,secondary,4599733,F
2568,no,no,563,1,other,1,112,30,admin.,single,secondary,2602957,F
260,yes,no,175,2,unknown,0,183,42,blue-collar,married,primary,1165729,M
3383,yes,no,43,2,unknown,0,441,34,admin.,divorced,primary,480591,M
1536,no,no,234,2,unknown,0,414,31,management,single,tertiary,2656984,M
1124,yes,no,82,4,unknown,0,141,31,blue-collar,single,secondary,3820193,M
122,no,no,68,2,unknown,0,142,44,housemaid,married,secondary,1096826,M
63,yes,no,92,3,other,0,117,43,services,single,secondary,277765,M
3,no,yes,197,1,unknown,0,100,47,technician,married,secondary,2981731,F
3337,yes,no,99,3,unknown,0,408,56,admin.,divorced,secondary,4818722,F
3383,yes,no,643,9,unknown,1,153,39,technician,married,secondary,848045,M
249,yes,yes,189,3,unknown,0,318,32,blue-collar,married,secondary,2563835,M
429,yes,no,272,4,unknown,0,266,39,management,married,tertiary,3678831,M
816,no,no,54,19,unknown,0,102,35,technician,single,secondary,1829888,M
293,yes,no,162,3,unknown,0,172,34,management,married,secondary,1988859,M
2550,yes,no,424,2,unknown,0,292,40,admin.,divorced,secondary,3961617,M
830,no,no,468,2,unknown,0,285,45,self-employed,married,secondary,2481009,F
519,no,no,251,4,unknown,0,135,58,housemaid,married,secondary,2060303,M
2908,no,no,322,1,unknown,0,170,49,entrepreneur,divorced,secondary,901405,M
143,yes,no,42,3,unknown,0,432,55,retired,married,secondary,1305786,M
1683,yes,no,277,1,unknown,0,353,45,admin.,single,tertiary,2688743,M
372,yes,no,132,2,unknown,0,223,33,blue-collar,married,secondary,2415842,M
291,yes,no,448,2,unknown,0,434,48,blue-collar,married,secondary,3338832,F
358,no,no,259,2,unknown,0,278,46,blue-collar,divorced,primary,1957901,M
3149,no,no,142,3,unknown,0,214,56,retired,married,primary,2689732,M
644,yes,yes,198,1,unknown,0,449,32,technician,single,secondary,2323364,M
199,no,no,101,2,unknown,0,323,25,services,single,secondary,1444739,F
1324,no,no,85,2,unknown,0,171,36,technician,single,tertiary,3520394,F
1561,no,no,352,3,failure,1,311,54,unemployed,married,secondary,4511020,M
3327,no,no,146,19,unknown,0,290,43,management,divorced,tertiary,4641929,M
102,no,no,466,1,unknown,0,365,25,blue-collar,married,secondary,2392941,M
359,yes,no,604,1,unknown,0,103,29,technician,single,secondary,1271459,M
3190,yes,no,20,2,unknown,0,380,38,admin.,married,secondary,2318908,F
536,no,no,185,12,unknown,0,425,43,blue-collar,married,secondary,2371677,M
518,no,no,84,1,unknown,0,163,40,services,married,secondary,1128053,F
2196,yes,no,643,1,unknown,0,297,32,services,married,secondary,1700473,M
234,no,no,255,1,unknown,1,183,52,technician,married,secondary,3226595,F
1296,yes,no,352,4,unknown,0,412,36,self-employed,single,tertiary,3038086,F
151,yes,no,131,1,other,0,351,34,admin.,divorced,secondary,996868,F
419,yes,no,158,2,unknown,0,219,28,admin.,single,secondary,1524522,M
3383,yes,no,60,1,unknown,0,101,59,management,married,tertiary,4407678,F
3383,yes,no,528,3,unknown,0,215,28,blue-collar,single,secondary,3301834,F
0,yes,no,40,2,unknown,0,128,31,admin.,married,secondary,4990946,M
79,yes,no,418,2,unknown,0,445,55,unemployed,divorced,secondary,4239012,F
1934,yes,no,162,2,unknown,0,261,41,student,single,secondary,4405947,M
384,yes,no,30,7,unknown,0,196,54,management,married,tertiary,1238179,M
241,no,yes,643,2,unknown,1,211,32,admin.,divorced,secondary,3269887,F
1310,yes,no,12,2,unknown,0,176,31,management,single,secondary,3665919,M
31,no,yes,131,3,failure,0,105,35,services,married,primary,2562942,M
559,yes,no,6,4,unknown,0,117,29,management,divorced,tertiary,3022000,F
751,yes,no,186,4,unknown,0,159,37,management,married,tertiary,4007124,M
622,no,no,643,2,unknown,1,283,26,unemployed,single,secondary,4715415,M
54,no,no,73,2,unknown,0,349,35,technician,divorced,secondary,4711425,F
65,no,no,309,4,failure,0,446,54,technician,married,secondary,4850905,F
2618,yes,no,185,2,failure,0,407,53,services,married,primary,4448072,M
423,no,no,212,17,unknown,0,230,32,management,married,tertiary,999940,M
3383,yes,no,360,5,unknown,0,135,26,admin.,single,tertiary,4713921,F
1363,no,no,54,3,unknown,0,465,56,blue-collar,divorced,secondary,1984701,F
0,no,no,643,6,unknown,0,201,35,management,single,tertiary,3954693,M
533,yes,no,257,4,unknown,0,264,41,technician,divorced,tertiary,4386597,M
72,no,no,141,2,unknown,0,150,50,services,single,secondary,249884,F
1241,yes,yes,49,2,unknown,0,364,50,admin.,married,secondary,4726801,F
62,yes,no,258,1,unknown,0,149,48,services,divorced,secondary,3731838,F
437,no,no,186,2,unknown,0,222,39,technician,married,tertiary,1702020,M
196,yes,no,35,1,unknown,0,116,58,retired,married,primary,2969066,F
3383,yes,no,241,2,failure,0,287,40,technician,married,secondary,2730569,F
597,yes,no,643,2,unknown,0,115,35,blue-collar,single,secondary,4858297,M
2422,yes,no,141,2,unknown,0,119,44,management,divorced,tertiary,2368667,M
264,yes,no,159,1,unknown,0,414,53,admin.,married,secondary,3913907,F
40,no,no,419,2,unknown,1,323,32,technician,single,secondary,2976682,M
358,no,no,183,2,unknown,0,350,59,technician,married,secondary,4945258,F
538,yes,no,109,2,failure,0,339,35,management,divorced,tertiary,1475272,M
538,no,no,48,2,unknown,0,118,59,retired,married,tertiary,1080675,M
3383,no,no,197,1,unknown,0,101,58,housemaid,married,primary,2968341,F
0,yes,no,101,14,unknown,0,172,60,technician,married,secondary,2350266,F
364,yes,no,169,1,unknown,0,318,28,admin.,married,tertiary,2304193,M
1102,yes,no,126,2,unknown,0,238,55,admin.,married,secondary,2313148,F
1568,no,no,206,6,unknown,0,493,49,blue-collar,married,secondary,2315453,F
1993,yes,no,97,2,unknown,0,154,42,blue-collar,married,tertiary,889702,M
644,no,no,119,3,unknown,0,206,52,services,divorced,primary,1947038,F
0,yes,no,386,1,unknown,0,193,28,blue-collar,single,secondary,3850554,M
1209,no,no,98,5,unknown,0,103,38,admin.,married,tertiary,3987067,M
158,yes,yes,231,2,unknown,0,268,25,blue-collar,single,secondary,4010619,F
383,no,yes,119,1,failure,0,249,31,admin.,single,tertiary,1098285,M
28,yes,no,125,1,unknown,0,402,21,admin.,single,secondary,4142626,M
3383,no,no,221,7,unknown,0,308,32,self-employed,married,tertiary,3898945,M
3383,yes,no,128,2,unknown,0,405,41,management,single,secondary,2543933,F
391,yes,no,185,1,failure,0,320,36,technician,single,tertiary,2351171,M
383,yes,no,170,1,unknown,0,434,30,management,single,secondary,313740,M
0,yes,no,226,1,unknown,0,156,59,blue-collar,married,secondary,669919,M
0,no,no,77,6,unknown,0,372,58,management,married,primary,2773405,F
3383,yes,no,125,1,unknown,0,471,36,management,married,tertiary,825706,M
153,no,no,168,5,unknown,0,191,54,management,married,tertiary,4431191,F
175,yes,no,49,4,unknown,0,272,53,blue-collar,married,secondary,2838495,F
542,yes,no,338,3,unknown,0,272,29,technician,single,tertiary,443099,M
1203,no,no,6,7,unknown,0,475,53,admin.,married,secondary,929312,M
231,no,yes,243,1,unknown,0,123,46,management,married,secondary,1210480,M
2020,no,no,93,4,unknown,0,305,57,retired,married,secondary,4253635,F
917,yes,no,260,1,unknown,0,171,38,self-employed,single,tertiary,2876182,F
808,yes,no,322,1,unknown,0,322,32,services,single,secondary,3649859,F
313,no,no,24,16,unknown,0,261,56,blue-collar,married,primary,3197829,F
2253,yes,no,643,3,unknown,1,214,38,services,single,secondary,3937375,M
335,yes,yes,99,1,unknown,0,208,32,services,single,secondary,613305,F
3383,yes,no,35,3,unknown,0,361,44,management,single,secondary,2714087,M
250,yes,no,166,2,unknown,0,180,23,student,single,tertiary,1517950,M
0,yes,yes,97,1,unknown,0,339,50,admin.,married,secondary,695114,M
3383,yes,no,194,3,unknown,0,251,25,student,single,secondary,3988002,M
396,yes,no,194,3,unknown,0,489,48,blue-collar,single,primary,3353047,M
654,yes,no,139,2,unknown,0,243,41,services,divorced,secondary,1328747,M
34,yes,no,96,3,unknown,0,110,43,technician,married,secondary,2811230,M
1037,no,no,271,1,unknown,0,299,42,blue-collar,divorced,secondary,4712018,F
46,no,no,90,2,unknown,0,250,38,technician,single,secondary,1767770,F
1804,yes,no,122,1,failure,0,463,32,management,divorced,tertiary,4024409,F
3330,no,no,109,6,unknown,0,132,30,management,married,tertiary,1299979,M
715,no,no,131,13,unknown,0,175,50,admin.,married,secondary,1210204,M
330,yes,yes,207,2,unknown,0,111,36,services,divorced,secondary,4182026,F
722,no,no,134,3,failure,0,398,56,management,divorced,tertiary,4608467,M
47,yes,no,232,1,failure,0,495,34,blue-collar,single,secondary,454887,F
3383,yes,yes,243,1,failure,0,208,41,services,divorced,secondary,2484746,M
979,yes,no,156,1,other,0,409,52,admin.,married,secondary,3474246,M
337,yes,no,643,5,unknown,0,278,37,management,single,tertiary,3014349,M
9,yes,yes,389,1,unknown,0,404,49,blue-collar,divorced,primary,5916021,M
60,yes,yes,389,1,unknown,0,314,31,blue-collar,single,tertiary,2555217,F
1671,no,no,149,1,unknown,0,475,44,blue-collar,married,secondary,3789315,F
292,yes,yes,186,1,unknown,0,179,31,technician,married,secondary,3697281,M
3216,yes,no,451,2,unknown,0,311,47,services,married,secondary,1767579,M
405,no,yes,643,2,unknown,1,442,47,services,married,secondary,2824586,F
894,yes,no,65,7,unknown,0,422,60,retired,married,primary,723929,F
118,no,no,16,20,unknown,0,369,52,technician,married,secondary,1435992,F
0,no,no,292,1,success,1,408,34,admin.,married,tertiary,1367961,M
3383,yes,no,29,4,unknown,0,498,36,blue-collar,married,secondary,802137,M
1443,no,no,643,2,success,1,368,93,retired,married,secondary,4299328,M
993,no,no,409,1,success,0,418,23,unemployed,single,tertiary,3679870,M
3049,yes,yes,153,1,unknown,0,165,37,admin.,single,secondary,3523141,M
337,yes,yes,80,2,unknown,0,485,53,self-employed,married,tertiary,4722778,M
1872,no,no,76,3,success,0,123,55,admin.,divorced,secondary,4489258,M
529,yes,no,643,1,unknown,0,353,54,retired,married,secondary,1821798,M
1628,yes,no,590,8,unknown,1,283,42,blue-collar,single,primary,955498,M
416,yes,yes,172,2,unknown,0,236,26,admin.,married,secondary,4409260,M
1352,no,no,643,1,unknown,1,304,36,management,married,tertiary,3574611,M
3383,no,no,274,2,unknown,0,439,47,self-employed,married,primary,4054247,M
1737,no,no,228,2,failure,0,387,33,admin.,married,secondary,1774576,M
96,yes,yes,311,2,unknown,0,320,55,services,divorced,primary,1299218,F
1096,yes,no,609,1,failure,0,425,49,admin.,married,secondary,2020287,M
3275,no,no,527,2,unknown,0,183,53,housemaid,single,tertiary,1863643,F
1690,yes,yes,163,3,unknown,0,490,23,blue-collar,single,secondary,828852,M
378,yes,no,155,1,unknown,0,370,50,blue-collar,married,secondary,2741957,M
2681,no,no,481,3,unknown,0,401,54,services,married,secondary,3007904,M
306,yes,no,86,1,failure,0,144,41,blue-collar,married,secondary,3252705,M
961,yes,no,48,2,unknown,0,305,46,blue-collar,married,secondary,2679921,M
38,yes,no,165,1,failure,0,305,37,self-employed,divorced,secondary,674034,M
3383,yes,no,488,1,unknown,0,251,34,blue-collar,divorced,secondary,990653,F
1637,yes,no,150,2,unknown,0,258,38,management,single,tertiary,3783992,F
3383,yes,yes,349,4,unknown,0,355,32,technician,single,secondary,1636224,M
239,yes,no,281,1,unknown,0,309,35,blue-collar,married,primary,4336715,F
203,no,no,167,1,unknown,0,188,49,blue-collar,married,secondary,2079033,M
169,yes,yes,109,1,unknown,0,263,46,blue-collar,married,primary,3116023,M
1113,yes,no,135,1,other,0,244,28,blue-collar,married,secondary,3941979,F
3383,yes,no,643,2,unknown,1,199,26,management,single,tertiary,4825528,F
0,no,no,81,2,unknown,0,251,31,management,married,secondary,4961963,F
75,yes,no,136,2,unknown,0,175,56,blue-collar,divorced,secondary,4204899,F
2269,yes,no,132,1,failure,0,102,47,blue-collar,married,primary,257507,M
1303,yes,yes,364,1,unknown,0,176,27,services,married,secondary,3149128,M
19,yes,no,158,1,unknown,0,462,42,blue-collar,single,primary,3397614,F
301,yes,no,383,3,failure,0,109,32,management,single,secondary,3436538,F
0,yes,no,113,3,unknown,0,349,35,blue-collar,single,secondary,4169644,F
307,yes,no,338,2,unknown,0,397,44,entrepreneur,married,tertiary,4055337,M
1259,yes,no,379,2,failure,0,313,34,technician,single,secondary,3460897,F
0,yes,no,122,2,unknown,0,336,50,management,married,secondary,3916951,M
25,yes,no,23,5,unknown,0,406,35,blue-collar,married,secondary,2727731,M
526,no,no,603,2,unknown,0,206,43,management,married,tertiary,2006443,M
507,no,no,257,1,unknown,1,219,24,management,single,tertiary,4637445,M
342,yes,no,70,1,unknown,0,170,44,technician,single,tertiary,2850603,M
350,yes,no,383,5,unknown,0,374,31,blue-collar,single,secondary,440478,M
235,no,no,118,1,unknown,1,216,24,student,single,tertiary,624827,F
317,yes,no,452,2,failure,0,183,32,technician,single,secondary,3666809,F
3383,yes,no,21,7,unknown,0,413,34,unemployed,married,secondary,233340,F
895,yes,no,104,5,unknown,0,419,51,admin.,married,secondary,1092901,M
438,no,no,139,2,unknown,0,222,56,unemployed,divorced,primary,1885504,M
2,no,no,187,3,unknown,0,338,40,admin.,married,secondary,2008511,F
372,yes,no,92,1,unknown,0,458,33,blue-collar,single,secondary,1988226,M
346,no,no,76,2,success,0,125,50,management,married,tertiary,2865371,F
214,yes,no,68,1,unknown,0,305,54,management,married,tertiary,776722,M
94,yes,no,643,2,unknown,1,261,33,self-employed,single,tertiary,2608256,M
1427,no,no,140,2,unknown,0,371,59,retired,married,primary,1626703,M
889,yes,no,139,1,unknown,0,146,33,technician,married,secondary,1858252,F
3383,yes,no,643,2,unknown,0,459,33,services,single,secondary,1940769,M
443,yes,yes,643,1,unknown,1,240,45,blue-collar,married,primary,1100584,M
842,no,no,284,3,unknown,1,171,57,retired,single,tertiary,2008786,M
43,yes,no,184,4,unknown,0,145,45,technician,married,tertiary,3078729,M
35,no,no,643,2,unknown,1,313,31,blue-collar,married,tertiary,1578171,M
0,yes,no,85,1,failure,0,450,47,admin.,married,secondary,3153173,M
197,yes,no,103,1,unknown,0,287,35,services,married,secondary,4322994,M
513,yes,no,427,3,unknown,0,274,36,blue-collar,married,secondary,2614416,M
3382,yes,no,125,1,unknown,0,495,40,unemployed,married,secondary,4368671,F
165,yes,no,218,1,unknown,0,189,33,entrepreneur,married,primary,4120891,M
155,yes,no,248,1,unknown,0,239,38,services,married,secondary,4475658,F
1201,yes,yes,84,3,unknown,0,389,43,technician,married,tertiary,2813584,M
382,no,no,148,1,failure,0,488,34,management,single,tertiary,204638,F
318,no,no,25,20,unknown,0,381,37,technician,married,secondary,1893064,M
37,yes,no,163,3,unknown,0,404,27,unemployed,single,tertiary,4096688,F
1270,no,no,342,2,unknown,0,373,40,technician,married,secondary,3195586,F
163,yes,yes,108,1,unknown,0,260,53,technician,married,secondary,1611473,F
48,yes,no,113,1,unknown,0,310,40,blue-collar,married,primary,697175,F
433,no,yes,114,1,unknown,0,161,31,blue-collar,married,tertiary,1761849,M
3347,no,no,311,1,unknown,0,142,27,management,single,tertiary,3888779,M
588,no,no,574,1,success,1,440,64,retired,married,secondary,3546655,M
98,yes,no,402,1,failure,0,219,52,management,married,primary,3582850,F
1251,no,no,11,5,unknown,0,368,30,management,married,tertiary,4642251,F
218,yes,no,58,7,unknown,0,336,47,self-employed,divorced,secondary,4239696,M
363,yes,no,39,4,failure,0,239,37,technician,single,secondary,3550571,M
2876,no,no,103,4,unknown,0,213,30,management,single,tertiary,1025778,M
370,yes,no,109,3,unknown,0,297,51,housemaid,divorced,tertiary,4392280,F
0,yes,no,376,1,unknown,0,437,45,admin.,married,secondary,385514,M
2658,yes,no,302,1,unknown,0,167,56,services,married,secondary,1193136,F
266,no,no,176,1,failure,0,299,29,management,single,tertiary,2818553,M
353,no,no,90,2,unknown,0,326,41,entrepreneur,married,secondary,1643685,M
551,yes,no,99,3,unknown,0,276,32,blue-collar,single,secondary,2348187,M
361,no,no,232,1,failure,0,100,22,services,single,secondary,1885850,M
6,no,no,448,3,unknown,0,321,59,retired,married,primary,3478776,M
126,no,no,112,2,unknown,0,340,35,technician,single,secondary,1567344,M
3383,no,no,160,1,unknown,0,469,60,retired,married,secondary,2454907,F
0,no,no,108,4,unknown,0,491,30,management,single,tertiary,3755857,F
347,no,no,21,1,unknown,0,262,31,blue-collar,married,primary,3973489,M
527,yes,yes,143,1,unknown,0,117,35,blue-collar,married,secondary,4468809,F
3241,yes,no,105,1,unknown,0,249,52,services,married,secondary,1323648,M
2693,no,no,109,5,success,0,161,76,retired,divorced,primary,4630666,F
911,yes,yes,275,3,unknown,0,393,36,technician,married,tertiary,2544104,F
151,no,no,139,3,unknown,0,445,27,technician,single,secondary,3450892,M
1836,no,no,643,3,unknown,1,491,39,management,married,tertiary,4179746,F
1021,no,no,399,3,unknown,0,473,47,blue-collar,married,secondary,2038638,F
0,yes,no,184,2,failure,0,220,41,admin.,married,primary,2288174,F
273,no,no,58,1,unknown,0,192,49,entrepreneur,married,secondary,1565519,M
8,yes,no,155,6,unknown,0,178,39,admin.,married,secondary,2685211,F
