,balance,housing,loan,duration,campaign,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Annual_Income,Gender
39,0,yes,no,137,1,unknown,0,219,37,admin.,single,secondary,1772791,F
40,2586,yes,no,160,1,unknown,0,283,44,services,divorced,secondary,4306051,M
41,0,yes,no,180,2,unknown,0,381,50,management,married,secondary,4587759,M
42,104,yes,no,22,1,unknown,0,119,60,blue-collar,married,secondary,2686262,M
43,529,yes,no,643,1,unknown,0,353,54,retired,married,secondary,1821798,M
44,96,yes,no,616,1,unknown,0,365,58,retired,married,secondary,311788,F
45,171,yes,no,242,1,unknown,0,105,36,admin.,single,primary,9455698,M
46,364,yes,no,355,1,unknown,0,350,58,self-employed,married,tertiary,9455395,F
47,0,yes,no,225,2,unknown,0,474,44,technician,married,secondary,2815548,F
48,0,no,no,160,1,unknown,0,146,55,technician,divorced,secondary,4810498,M
49,0,yes,no,363,1,unknown,0,366,29,management,single,tertiary,2336585,F
50,1291,yes,no,266,1,unknown,0,391,54,blue-collar,married,secondary,1588055,M
51,244,yes,no,253,1,unknown,0,458,48,management,divorced,tertiary,9452458,M
52,0,yes,no,179,1,unknown,0,392,32,management,married,tertiary,3147711,M
53,76,yes,no,643,1,unknown,0,362,42,admin.,single,secondary,9452078,M
54,103,yes,yes,258,1,unknown,0,446,24,technician,single,secondary,8940189,F
55,243,no,yes,174,1,unknown,0,409,38,entrepreneur,single,tertiary,1594257,M
56,424,yes,no,104,1,unknown,0,275,38,management,single,tertiary,3806355,M
57,306,yes,no,13,1,unknown,0,343,47,blue-collar,married,secondary,1172205,M
58,24,yes,no,185,1,unknown,0,140,40,blue-collar,single,secondary,649595,F
59,179,yes,no,643,1,unknown,0,226,46,services,married,primary,2267997,M
60,0,yes,no,138,1,unknown,0,346,32,admin.,married,tertiary,734214,M
61,989,yes,no,643,1,unknown,0,165,53,technician,divorced,secondary,2524364,M
62,249,yes,no,164,1,unknown,0,479,57,blue-collar,married,primary,2117979,F
63,790,yes,no,391,1,unknown,0,257,33,services,married,secondary,3884662,F
64,154,yes,no,357,1,unknown,0,276,49,blue-collar,married,secondary,4884667,M
65,3383,yes,no,91,1,unknown,0,489,51,management,married,tertiary,405932,F
66,100,no,no,528,1,unknown,0,101,60,retired,married,tertiary,4249849,F
67,59,yes,no,273,1,unknown,0,196,59,management,divorced,tertiary,1160299,M
68,1205,yes,no,158,2,unknown,0,418,55,technician,married,secondary,487958,F
69,3383,yes,yes,177,1,unknown,0,481,35,blue-collar,single,secondary,4708688,M
70,3383,yes,yes,258,1,unknown,0,168,57,blue-collar,married,secondary,3426031,M
71,25,yes,yes,172,1,unknown,0,370,31,services,married,secondary,3697996,F
72,282,yes,yes,154,1,unknown,0,431,54,management,married,secondary,902705,M
73,23,yes,no,291,1,unknown,0,174,55,blue-collar,married,primary,3114237,M
74,1937,yes,no,181,1,unknown,0,473,43,technician,married,secondary,2661329,M
75,384,yes,no,176,1,unknown,0,324,53,technician,married,secondary,2062706,M
76,582,no,yes,211,1,unknown,0,393,44,blue-collar,married,secondary,3578861,M
77,91,no,no,349,1,unknown,0,239,55,services,divorced,secondary,2497471,M
78,0,yes,yes,272,1,unknown,0,126,49,services,divorced,secondary,4925497,M
79,1,yes,no,208,1,unknown,0,150,55,services,divorced,secondary,2661959,F
80,206,yes,no,193,1,unknown,0,255,45,admin.,single,secondary,3801900,M
81,164,no,no,212,1,unknown,0,175,47,services,divorced,secondary,4752810,F
82,690,yes,no,20,1,unknown,0,316,42,technician,single,secondary,1350522,M
83,2343,yes,no,643,1,unknown,1,141,59,admin.,blue-collar,secondary,1368654,F
84,137,yes,yes,246,1,unknown,0,176,46,self-employed,married,tertiary,1895636,M
85,173,yes,no,529,2,unknown,0,263,51,blue-collar,married,primary,4711400,M
86,45,no,no,643,1,unknown,1,399,56,admin.,married,secondary,3604898,M
87,1270,yes,no,643,1,unknown,1,468,41,technician,married,secondary,201417,F
88,16,yes,yes,188,2,unknown,0,340,46,management,divorced,secondary,2941476,F
89,486,yes,no,180,2,unknown,0,466,57,retired,married,secondary,1329682,M
90,50,no,no,48,1,unknown,0,258,42,management,single,secondary,4304701,F
91,152,yes,yes,213,2,unknown,0,434,30,technician,married,secondary,2231325,M
92,290,yes,no,583,1,unknown,0,356,60,admin.,married,secondary,3165738,M
93,54,yes,no,221,1,unknown,0,391,60,blue-collar,married,secondary,3815103,M
94,37,no,no,173,1,unknown,0,180,57,entrepreneur,divorced,secondary,8939107,F
95,101,yes,yes,426,1,unknown,0,146,36,management,married,tertiary,3519095,F
96,383,no,no,287,1,unknown,0,444,55,blue-collar,married,secondary,1354433,M
97,81,yes,no,101,1,unknown,0,129,60,retired,married,tertiary,4489810,M
98,0,yes,no,203,1,unknown,0,111,39,technician,married,secondary,1410290,M
99,229,yes,no,197,1,unknown,0,341,46,management,married,tertiary,1692724,F
100,674,yes,no,257,1,unknown,0,271,44,blue-collar,married,secondary,8937766,M
101,90,no,no,124,1,unknown,0,270,53,blue-collar,married,primary,1066385,F
102,128,yes,no,229,1,unknown,0,195,52,blue-collar,married,primary,3773683,F
103,179,yes,no,55,3,unknown,0,492,59,blue-collar,married,primary,3695031,M
104,0,yes,no,400,1,unknown,0,388,27,technician,single,tertiary,532605,F
105,54,yes,no,197,1,unknown,0,419,44,blue-collar,married,secondary,1292576,M
106,151,yes,no,190,1,unknown,0,248,47,technician,married,tertiary,3817854,M
107,61,no,yes,21,1,unknown,0,335,34,admin.,married,secondary,3138036,F
108,30,yes,no,514,1,unknown,0,481,59,retired,single,secondary,471841,M
109,523,yes,no,643,2,unknown,0,359,45,management,married,tertiary,3604103,M
110,31,yes,no,194,1,unknown,0,202,29,services,divorced,secondary,1243249,F
111,79,no,no,144,1,unknown,0,199,46,technician,divorced,secondary,3592818,F
112,34,yes,yes,212,2,unknown,0,309,56,self-employed,married,primary,8936692,M
113,448,yes,no,286,1,unknown,0,331,36,blue-collar,married,primary,644826,F
114,81,yes,no,107,1,unknown,0,160,59,retired,divorced,primary,3322345,F
115,144,yes,no,247,2,unknown,0,468,44,blue-collar,married,secondary,605348,F
116,351,yes,no,518,1,unknown,0,116,41,admin.,married,secondary,3956436,M
117,67,yes,no,364,1,unknown,0,290,33,management,single,tertiary,8936265,F
118,262,no,no,178,1,unknown,0,158,59,management,divorced,tertiary,926367,F
119,0,no,no,98,1,unknown,0,446,57,technician,married,primary,3784622,F
120,56,yes,no,439,1,unknown,0,211,56,technician,divorced,secondary,2992594,M
121,26,yes,no,79,1,unknown,0,297,51,blue-collar,married,secondary,3517790,M
122,3,yes,no,258,3,unknown,0,144,34,admin.,married,secondary,4232478,F
123,0,yes,yes,127,2,unknown,0,264,43,services,married,secondary,806383,F
124,7,no,yes,175,1,unknown,0,175,52,technician,married,tertiary,2633024,F
125,105,yes,no,262,2,unknown,0,238,33,technician,single,secondary,2887765,F
126,818,yes,yes,61,1,unknown,0,301,29,admin.,single,secondary,2362442,M
127,16,yes,yes,78,1,unknown,0,254,34,services,married,secondary,8935683,F
128,0,yes,no,143,1,unknown,0,265,31,blue-collar,married,secondary,2719720,F
129,2476,yes,no,579,1,unknown,1,241,55,services,married,secondary,4136180,M
130,1185,no,no,643,1,unknown,0,165,55,management,married,secondary,310304,F
131,217,yes,no,345,1,unknown,0,315,32,admin.,single,secondary,3465105,M
132,1685,yes,no,185,1,unknown,0,429,38,technician,single,secondary,1628338,F
133,802,yes,yes,100,2,unknown,0,413,55,admin.,single,secondary,394418,F
134,0,yes,no,125,2,unknown,0,425,28,unemployed,single,tertiary,3172790,F
135,94,yes,no,193,1,unknown,0,452,23,blue-collar,married,secondary,2197696,M
136,0,yes,no,136,1,unknown,0,299,32,technician,single,secondary,3245888,M
137,0,no,no,73,1,unknown,0,347,43,services,single,secondary,2458125,M
138,517,yes,no,528,1,unknown,0,194,32,blue-collar,married,secondary,2934143,M
139,265,yes,no,541,1,unknown,0,295,46,blue-collar,married,secondary,4595132,M
140,947,yes,no,163,1,unknown,0,192,53,housemaid,divorced,primary,4371355,M
141,3,yes,no,301,1,unknown,0,472,34,self-employed,single,secondary,4065567,F
142,42,no,no,46,1,unknown,0,329,57,unemployed,married,tertiary,4666021,F
143,37,yes,no,204,1,unknown,0,113,37,blue-collar,married,secondary,1346120,M
144,57,yes,no,98,1,unknown,0,268,59,blue-collar,married,secondary,2957933,F
145,22,yes,no,71,1,unknown,0,153,33,services,married,secondary,212027,F
146,8,yes,no,157,2,unknown,0,128,56,blue-collar,divorced,primary,4224101,F
147,293,yes,no,243,1,unknown,0,295,48,unemployed,married,secondary,2806567,F
148,3,yes,no,186,2,unknown,0,436,43,services,married,primary,1416252,F
149,348,yes,no,579,2,unknown,0,176,54,blue-collar,married,primary,4845272,F
150,19,yes,no,163,2,unknown,0,319,51,blue-collar,married,secondary,8643368,M
151,0,yes,no,610,2,unknown,0,144,26,student,single,secondary,3921379,F
152,4,yes,no,643,1,unknown,0,226,40,management,married,tertiary,8641142,F
153,18,yes,no,85,1,unknown,0,310,39,management,married,secondary,4180300,M
154,139,no,no,258,2,unknown,0,495,50,technician,married,primary,350803,F
155,0,yes,no,114,2,unknown,0,392,41,services,married,secondary,2596935,F
156,1883,yes,no,57,1,unknown,0,281,51,blue-collar,married,secondary,3735582,M
157,216,yes,no,238,1,unknown,0,143,60,retired,divorced,secondary,734013,M
158,782,yes,no,93,3,unknown,0,176,52,blue-collar,married,secondary,475900,M
159,904,yes,no,128,2,unknown,0,416,48,blue-collar,married,secondary,2429704,M
160,1705,yes,no,107,1,unknown,0,460,48,services,married,secondary,4372029,F
161,47,yes,no,181,1,unknown,0,108,39,technician,single,tertiary,3986600,F
162,176,yes,no,303,2,unknown,0,442,47,services,single,secondary,1343086,M
163,1225,yes,no,558,5,unknown,0,186,40,blue-collar,married,secondary,709422,F
164,86,yes,no,270,1,unknown,0,258,45,technician,married,secondary,4611496,M
165,82,yes,no,228,1,unknown,0,266,26,admin.,single,secondary,3161769,M
166,271,yes,no,99,1,unknown,0,485,52,management,married,tertiary,1015156,M
167,1378,yes,no,240,1,unknown,0,395,54,technician,married,secondary,3547388,F
168,184,no,no,643,2,unknown,1,356,54,admin.,married,tertiary,1382727,M
169,0,no,no,233,3,unknown,0,156,50,blue-collar,married,primary,2903234,F
170,0,yes,no,643,1,unknown,0,387,35,blue-collar,married,secondary,3012173,M
171,1357,yes,yes,250,1,unknown,0,494,44,services,married,secondary,2106395,M
172,19,yes,no,252,1,unknown,0,146,53,entrepreneur,married,secondary,4998118,F
173,434,no,no,138,1,unknown,0,217,35,retired,single,primary,3873773,M
174,92,yes,no,130,1,unknown,0,271,60,admin.,divorced,secondary,492069,F
175,1151,yes,no,412,1,unknown,0,370,53,admin.,divorced,secondary,575892,F
176,0,yes,no,179,2,unknown,0,334,48,unemployed,married,secondary,1123572,M
177,51,yes,no,19,2,unknown,0,219,34,technician,married,secondary,3376547,F
178,214,yes,no,458,2,unknown,0,379,54,services,married,secondary,1636007,M
179,1161,yes,no,643,1,unknown,0,171,51,management,married,secondary,368600,M
180,37,yes,no,313,1,unknown,0,258,31,services,married,tertiary,1472411,M
181,787,yes,no,643,2,unknown,0,116,35,technician,divorced,secondary,3779025,M
182,59,yes,no,643,1,unknown,0,236,35,services,married,secondary,256461,M
183,253,yes,no,416,1,unknown,0,343,38,technician,married,secondary,1472997,M
184,211,yes,no,146,2,unknown,0,482,36,admin.,married,tertiary,4811842,M
185,235,yes,no,167,1,unknown,0,358,58,retired,married,primary,1351108,F
186,3383,yes,no,315,1,unknown,0,326,40,services,divorced,secondary,3862903,M
187,3383,no,no,140,1,unknown,0,128,54,management,married,secondary,3544726,M
188,53,yes,yes,346,1,unknown,0,495,34,blue-collar,single,secondary,4033916,F
189,0,yes,no,562,1,unknown,0,118,31,management,single,tertiary,3618892,M
190,2127,yes,no,172,1,unknown,0,397,51,retired,married,secondary,2035651,F
191,377,yes,no,217,1,unknown,0,175,33,management,married,tertiary,710460,F
192,73,yes,no,258,2,unknown,0,422,55,management,married,tertiary,2314890,M
193,445,yes,no,67,1,unknown,0,184,42,admin.,married,secondary,2402896,F
194,243,yes,no,291,1,unknown,0,249,34,blue-collar,married,secondary,642228,M
195,307,yes,no,309,2,unknown,0,307,33,blue-collar,single,secondary,4153811,F
196,155,yes,no,248,1,unknown,0,239,38,services,married,secondary,4475658,F
197,173,no,yes,98,1,unknown,0,408,50,technician,divorced,tertiary,4290423,M
198,400,yes,no,256,1,unknown,0,458,43,management,married,tertiary,3444604,M
199,1428,yes,no,82,2,unknown,0,192,61,blue-collar,divorced,primary,727804,M
200,219,yes,no,577,1,unknown,0,253,47,admin.,married,secondary,1751709,M
201,7,yes,no,286,1,unknown,0,303,48,self-employed,married,tertiary,1890241,F
202,575,yes,no,477,1,unknown,0,259,44,blue-collar,married,secondary,2228918,M
203,298,yes,no,611,2,unknown,0,184,35,student,single,secondary,3892805,F
204,0,yes,no,471,1,unknown,0,367,35,services,married,secondary,820735,M
205,3383,yes,no,381,2,unknown,0,173,50,services,married,secondary,1646207,F
206,176,yes,yes,42,1,unknown,0,490,41,management,married,tertiary,2825252,F
207,517,yes,no,251,1,unknown,0,272,41,management,married,tertiary,3482885,F
208,257,yes,no,408,1,unknown,0,261,39,services,single,secondary,1867485,M
209,56,yes,no,215,1,unknown,0,230,42,retired,married,secondary,4886124,M
210,390,yes,no,287,1,unknown,0,159,38,blue-collar,married,secondary,8641090,F
211,330,yes,no,216,2,unknown,0,367,53,retired,married,secondary,590492,M
212,195,no,no,366,2,unknown,0,410,59,housemaid,divorced,primary,4668765,M
213,301,yes,no,210,1,unknown,0,115,36,services,married,secondary,2774088,F
214,41,yes,no,288,1,unknown,0,206,54,blue-collar,married,primary,6906530,M
215,483,yes,no,168,1,unknown,0,375,40,technician,married,tertiary,3508020,F
216,28,no,no,338,2,unknown,0,125,47,blue-collar,married,secondary,4301012,F
217,13,no,no,410,3,unknown,0,397,53,unemployed,married,secondary,1321699,M
218,965,no,no,177,1,unknown,0,338,46,housemaid,married,primary,2527997,M
219,378,yes,yes,127,2,unknown,0,231,39,management,married,tertiary,843805,M
220,219,yes,no,357,1,unknown,0,423,40,unemployed,married,secondary,784900,M
221,324,yes,no,175,1,unknown,0,448,28,blue-collar,married,primary,2485547,M
222,69,yes,no,300,1,unknown,0,251,35,entrepreneur,divorced,secondary,6906322,M
223,0,no,yes,136,1,unknown,0,303,55,retired,married,secondary,2541809,F
224,205,yes,no,643,1,unknown,0,468,43,technician,divorced,secondary,4709179,M
225,278,yes,no,125,2,unknown,0,163,48,blue-collar,married,primary,3263712,M
226,1065,yes,no,213,3,unknown,0,121,58,management,married,secondary,2093511,F
227,34,yes,no,27,1,unknown,0,287,33,management,single,tertiary,4791962,M
228,1033,no,no,238,2,unknown,0,111,36,blue-collar,married,secondary,2726432,F
229,1467,yes,no,124,1,unknown,0,329,53,services,divorced,secondary,4030488,M
230,12,yes,no,18,1,unknown,0,123,47,blue-collar,married,primary,5916354,M
231,388,yes,no,643,2,unknown,0,272,31,services,married,secondary,1319456,M
232,294,yes,no,643,2,unknown,0,384,57,entrepreneur,married,secondary,2641093,M
233,1827,no,no,121,1,unknown,0,101,53,blue-collar,married,secondary,2297055,M
234,627,yes,no,247,1,unknown,0,317,55,blue-collar,married,primary,3241739,M
235,25,yes,no,40,1,unknown,0,310,45,blue-collar,married,primary,2439500,M
236,315,yes,no,181,2,unknown,0,263,53,admin.,divorced,secondary,3340322,F
237,0,yes,no,79,1,unknown,0,383,37,blue-collar,married,primary,4474885,M
238,66,yes,no,206,1,unknown,0,361,44,admin.,divorced,secondary,4186520,F
239,9,yes,yes,389,1,unknown,0,404,49,blue-collar,divorced,primary,5916021,M
240,349,yes,yes,127,1,unknown,0,493,46,technician,married,secondary,1142866,F
241,100,yes,no,643,1,unknown,0,382,43,entrepreneur,married,secondary,572262,M
242,0,no,no,151,1,unknown,0,354,38,admin.,married,secondary,1768474,F
243,434,yes,no,258,1,unknown,0,439,43,technician,married,secondary,4257021,F
244,3237,yes,no,232,3,unknown,0,402,49,management,married,tertiary,3365368,F
245,275,no,no,408,2,unknown,0,470,42,management,married,secondary,2376019,M
246,0,yes,no,179,2,unknown,0,386,22,blue-collar,single,secondary,436173,F
247,207,yes,no,39,1,unknown,0,291,40,management,married,tertiary,2440438,M
248,483,yes,no,282,1,unknown,0,481,39,blue-collar,married,secondary,2609659,M
249,2248,yes,no,643,2,unknown,0,408,51,services,married,secondary,992903,F
250,428,yes,no,50,1,unknown,0,170,49,admin.,married,secondary,1364717,M
251,0,yes,yes,181,1,unknown,0,208,53,blue-collar,married,secondary,4998240,M
252,0,yes,no,142,1,unknown,0,202,34,services,single,secondary,4450185,F
253,140,yes,no,227,1,unknown,0,152,33,technician,divorced,secondary,1972857,M
254,297,yes,no,119,1,unknown,0,476,50,management,single,tertiary,4267265,F
255,279,yes,no,361,1,unknown,0,171,39,blue-collar,married,primary,3522286,F
256,901,yes,no,73,3,unknown,0,205,59,entrepreneur,divorced,secondary,3973103,F
257,2573,yes,no,67,2,unknown,0,488,30,technician,single,secondary,825717,M
258,143,yes,yes,350,1,unknown,0,104,36,services,married,secondary,1645363,F
259,475,yes,no,332,2,unknown,0,309,40,blue-collar,married,secondary,438884,M
260,70,yes,no,611,2,unknown,0,358,53,blue-collar,married,secondary,3140106,F
261,318,yes,no,113,2,unknown,0,229,34,management,single,tertiary,4446542,F
262,275,yes,no,258,1,unknown,0,436,37,technician,married,secondary,4507200,F
263,742,yes,no,58,3,unknown,0,293,42,management,divorced,tertiary,4097614,M
264,236,yes,no,151,1,unknown,0,464,41,entrepreneur,married,primary,2419870,M
265,25,yes,no,89,2,unknown,0,151,30,student,single,tertiary,2752057,F
266,600,yes,no,152,1,unknown,0,372,37,management,single,tertiary,876730,F
267,349,yes,no,611,2,unknown,0,222,39,admin.,divorced,secondary,5915099,M
268,183,yes,yes,110,2,unknown,0,128,41,blue-collar,married,primary,563221,F
269,0,yes,no,463,1,unknown,0,324,40,blue-collar,married,primary,3326870,M
270,0,yes,yes,562,2,unknown,1,154,42,management,single,tertiary,2156278,F
271,0,yes,no,643,1,unknown,0,153,40,blue-collar,divorced,primary,1762030,M
272,1078,yes,no,10,4,unknown,0,158,57,technician,married,secondary,3276653,M
273,155,no,no,118,3,unknown,0,468,56,entrepreneur,divorced,secondary,1326311,M
274,190,yes,no,92,2,unknown,0,279,37,admin.,married,secondary,3234694,F
275,319,yes,no,143,3,unknown,0,232,59,retired,married,secondary,4701060,F
276,185,yes,no,189,3,unknown,0,373,39,services,divorced,secondary,5913636,F
277,47,no,no,234,2,unknown,0,402,49,services,married,secondary,1443852,M
278,570,yes,no,75,2,unknown,0,215,38,services,single,secondary,4752416,M
279,19,no,no,189,2,unknown,0,131,36,self-employed,married,tertiary,1357671,M
280,61,yes,no,621,3,unknown,0,232,50,blue-collar,married,primary,722708,M
281,62,yes,yes,55,2,unknown,0,464,41,admin.,married,secondary,5910016,F
282,258,no,no,310,4,unknown,0,116,54,technician,married,tertiary,953292,F
283,76,yes,no,156,2,unknown,0,263,58,blue-collar,married,primary,4578565,M
284,0,yes,no,5,2,unknown,0,326,30,blue-collar,single,secondary,1558611,M
285,352,yes,no,225,2,unknown,0,497,33,admin.,single,secondary,4880103,F
286,368,yes,no,125,2,unknown,0,413,47,admin.,married,secondary,3524871,M
287,339,yes,no,2,3,unknown,0,231,50,technician,single,tertiary,3476804,F
288,1331,yes,no,286,2,unknown,0,143,32,blue-collar,married,secondary,3036938,M
289,672,yes,no,164,2,unknown,0,188,40,self-employed,married,secondary,2760816,M
290,58,yes,no,98,2,unknown,0,148,37,management,married,tertiary,2794132,M
291,447,yes,no,643,2,unknown,0,214,54,technician,single,secondary,2754979,M
292,423,yes,no,226,3,unknown,0,425,24,student,single,secondary,897631,F
293,0,no,no,258,2,unknown,0,232,54,management,married,tertiary,4071937,M
294,19,yes,no,362,4,unknown,0,388,34,technician,married,secondary,913233,M
295,13,yes,no,357,2,unknown,0,175,56,technician,divorced,primary,2172991,M
296,3,yes,no,200,2,unknown,0,147,31,blue-collar,single,secondary,1808604,F
297,82,yes,no,204,2,unknown,0,234,24,student,single,secondary,2178016,F
298,28,yes,no,126,3,unknown,0,450,42,blue-collar,divorced,primary,3180544,F
299,792,yes,no,65,2,unknown,0,180,57,technician,married,secondary,3354223,M
300,408,yes,no,107,2,unknown,0,268,42,blue-collar,married,secondary,2571347,M
301,531,yes,no,267,2,unknown,0,357,51,admin.,married,secondary,3756533,M
302,211,yes,no,248,2,unknown,0,374,57,retired,married,secondary,2793971,F
303,62,yes,no,215,2,unknown,0,342,36,services,single,secondary,3592154,M
304,257,yes,no,209,2,unknown,0,206,53,services,married,secondary,4749392,M
305,1234,yes,no,205,2,unknown,0,168,50,technician,married,secondary,4433589,F
306,313,yes,no,83,2,unknown,0,159,54,management,married,tertiary,4253344,M
307,89,yes,no,106,3,unknown,0,488,55,blue-collar,married,secondary,4220030,F
308,129,yes,yes,189,2,unknown,0,124,44,blue-collar,married,secondary,4737104,M
309,0,yes,no,258,2,unknown,0,400,43,management,married,secondary,2636558,M
310,353,yes,no,106,2,unknown,0,309,56,admin.,married,secondary,634159,M
311,851,yes,no,108,2,unknown,0,364,54,technician,married,secondary,4154754,F
312,96,yes,yes,311,2,unknown,0,320,55,services,divorced,primary,1299218,F
313,398,yes,yes,214,2,unknown,0,292,37,services,divorced,secondary,3355762,M
314,193,no,no,132,2,unknown,0,291,33,admin.,single,tertiary,2665320,F
315,358,yes,no,358,2,unknown,0,172,46,admin.,married,secondary,5908232,F
316,539,yes,yes,453,2,unknown,0,444,36,blue-collar,married,secondary,1462608,M
317,0,yes,no,364,2,unknown,0,349,51,technician,single,secondary,2557876,F
318,0,no,no,136,2,unknown,0,313,40,retired,single,primary,3102258,M
319,490,yes,no,386,2,unknown,0,186,42,blue-collar,married,secondary,1877611,F
320,0,yes,no,173,2,unknown,0,116,51,blue-collar,married,secondary,2981596,M
321,403,yes,no,241,2,unknown,0,178,49,blue-collar,married,secondary,3307648,F
322,161,yes,no,224,3,unknown,0,419,48,management,married,secondary,4801127,M
323,2558,no,no,148,2,unknown,0,297,32,technician,divorced,tertiary,1423827,M
324,98,yes,no,196,2,unknown,0,267,31,admin.,single,secondary,1526643,M
325,115,no,no,111,4,unknown,0,433,55,management,single,tertiary,874566,F
326,436,yes,no,231,3,unknown,0,393,40,blue-collar,single,secondary,2532135,F
327,831,yes,no,316,3,unknown,0,417,47,technician,married,tertiary,629625,M
328,206,yes,no,216,3,unknown,0,210,57,technician,married,secondary,277733,M
329,290,yes,no,240,2,unknown,0,282,41,blue-collar,married,secondary,3391095,M
330,1,no,no,643,3,unknown,0,345,48,blue-collar,married,secondary,3099154,M
331,57,yes,no,425,2,unknown,0,117,42,blue-collar,married,secondary,1424018,M
332,1000,yes,no,258,2,unknown,0,278,30,blue-collar,single,secondary,4999264,M
333,1387,yes,no,174,5,unknown,0,298,58,management,single,tertiary,592334,M
334,3383,yes,no,313,3,unknown,0,218,45,management,divorced,tertiary,3639475,M
335,30,yes,no,135,4,unknown,0,443,49,blue-collar,married,secondary,3039080,F
336,1022,yes,no,146,2,unknown,0,331,42,admin.,single,secondary,3077854,F
337,56,yes,yes,152,2,unknown,0,435,53,technician,married,secondary,4688681,M
338,2,no,no,402,3,unknown,0,386,51,admin.,single,secondary,4999046,M
339,121,yes,no,213,2,unknown,0,219,32,services,single,secondary,2272337,M
340,842,yes,no,144,3,unknown,0,215,41,blue-collar,single,secondary,2298328,M
341,693,yes,no,124,3,unknown,0,315,43,management,divorced,secondary,3982792,F
342,333,yes,no,183,2,unknown,0,117,40,blue-collar,divorced,secondary,4998333,M
343,1533,yes,no,325,2,unknown,0,380,50,blue-collar,married,primary,3700288,F
344,46,yes,no,39,4,unknown,0,371,34,management,married,tertiary,1031274,F
345,18,no,no,503,2,unknown,0,213,53,services,married,secondary,3169273,M
346,44,yes,no,95,4,unknown,0,429,45,technician,married,secondary,575698,F
347,100,yes,no,643,2,unknown,0,134,39,blue-collar,blue-collar,primary,4996259,F
348,510,yes,no,421,4,unknown,0,321,44,services,married,tertiary,2878714,F
349,685,yes,no,174,3,unknown,0,110,55,management,married,tertiary,3590658,F
350,187,yes,no,113,2,unknown,0,173,46,management,single,tertiary,3315484,F
351,66,yes,no,643,2,unknown,0,476,45,blue-collar,married,secondary,3665634,M
352,560,yes,no,198,3,unknown,0,481,34,admin.,married,secondary,3849590,M
353,0,yes,no,195,2,unknown,0,468,36,blue-collar,married,secondary,4058441,F
